SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time
OnePlayer,false,dummy,/data/model-dummy/onnx,0,1000,172467,0,0,306,327,299,319,344,361,23,28,6.031
OnePlayer,true,dummy,/data/model-dummy/onnx,0,1000,167166,0,0,299,306,320,332,329,342,36,16,6.195
TwoPlayer,false,dummy,/data/model-dummy/onnx,0,1000,165964,0,0,305,320,326,341,320,332,29,20,6.179
TwoPlayer,true,dummy,/data/model-dummy/onnx,0,1000,172172,0,0,349,370,283,298,317,329,28,23,6.193
OnePlayer,false,sl,/data/model-sl/onnx,0,1000,228668,350,386,192,217,184,210,183,209,36,55,84.413
TwoPlayer,false,sl,/data/model-sl/onnx,0,1000,228200,369,409,211,230,157,192,175,197,32,56,84.801
TwoPlayer,true,sl,/data/model-sl/onnx,0,1000,228739,424,454,160,179,159,179,174,191,41,42,85.424
OnePlayer,true,sl,/data/model-sl/onnx,0,1000,235268,368,404,179,211,169,196,182,210,42,60,85.898
TwoPlayer,true,dummy,/data/model-dummy/onnx,50,1000,199962,162,163,245,260,264,277,256,270,52,21,760.788
TwoPlayer,false,dummy,/data/model-dummy/onnx,50,1000,190103,135,135,260,278,281,297,240,255,61,23,781.654
OnePlayer,false,dummy,/data/model-dummy/onnx,50,1000,231438,372,373,155,163,152,158,148,154,163,10,1263.39
OnePlayer,true,dummy,/data/model-dummy/onnx,50,1000,239651,407,411,143,152,118,129,120,128,198,14,1395.59
TwoPlayer,false,sl,/data/model-sl/onnx,50,1000,249549,579,586,92,100,86,96,85,98,140,18,1631.42
TwoPlayer,true,sl,/data/model-sl/onnx,50,1000,255719,574,580,79,87,68,75,92,100,173,14,1738.36
OnePlayer,false,sl,/data/model-sl/onnx,50,1000,243166,617,623,98,105,77,81,83,89,114,11,1707.61
OnePlayer,true,sl,/data/model-sl/onnx,50,1000,240358,638,640,88,90,70,70,68,70,133,3,1718.86
TwoPlayer,true,dummy,/data/model-dummy/onnx,100,1000,201286,166,166,239,254,237,249,260,271,79,19,952.009
