SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
OnePlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,229663,343,381,193,218,182,220,185,207,37,60,78.832,"166504.000000,0.003610,543.000000,0.000000,1.771710,1.771721:166504.000000,0.994727,1.000000,0.000000,0.005245,0.005245:166504.000000,0.994727,1.000000,0.000000,0.005245,0.005245:166504.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,241090,376,427,170,198,158,192,177,210,47,72,83.421,"188210.000000,0.003831,665.000000,0.000000,2.350280,2.350293:188210.000000,0.995250,1.000000,0.000000,0.004727,0.004727:188210.000000,0.995250,1.000000,0.000000,0.004727,0.004727:188210.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,240729,397,446,147,179,176,209,171,196,40,69,85.956,"182597.000000,0.003894,646.000000,0.000000,2.286413,2.286426:182597.000000,0.995493,1.000000,0.000000,0.004487,0.004487:182597.000000,0.995493,1.000000,0.000000,0.004487,0.004487:182597.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,232788,391,437,166,186,175,197,177,201,35,56,86.004,"183151.000000,0.004100,693.000000,0.000000,2.622961,2.622975:183151.000000,0.995583,1.000000,0.000000,0.004398,0.004398:183151.000000,0.995583,1.000000,0.000000,0.004398,0.004398:183151.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,0,1000,236031,360,407,176,201,194,229,168,203,34,68,86.623,"177922.000000,0.004002,654.000000,0.000000,2.404791,2.404804:177922.000000,0.995948,1.000000,0.000000,0.004036,0.004036:177922.000000,0.995948,1.000000,0.000000,0.004036,0.004036:177922.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,0,1000,234249,377,424,190,220,157,176,174,204,40,62,87.414,"182775.000000,0.003173,523.000000,0.000000,1.497317,1.497325:182775.000000,0.995864,1.000000,0.000000,0.004119,0.004119:182775.000000,0.995864,1.000000,0.000000,0.004119,0.004119:182775.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,239878,388,439,172,203,164,180,176,205,38,62,90.169,"191757.000000,0.003192,554.000000,0.000000,1.601214,1.601223:191757.000000,0.996230,1.000000,0.000000,0.003756,0.003756:191757.000000,0.996230,1.000000,0.000000,0.003756,0.003756:191757.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,248182,420,472,158,187,154,179,154,186,47,67,91.536,"197612.000000,0.003679,666.000000,0.000000,2.245432,2.245443:197612.000000,0.996210,1.000000,0.000000,0.003776,0.003776:197612.000000,0.996210,1.000000,0.000000,0.003776,0.003776:197612.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-4,/data/model-sl-4/onnx,0,1000,226062,358,396,170,195,184,216,187,212,45,56,77.574,"174884.000000,0.003728,518.000000,0.000000,1.535804,1.535813:174884.000000,0.995077,1.000000,0.000000,0.004899,0.004899:174884.000000,0.995077,1.000000,0.000000,0.004899,0.004899:174884.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-4,/data/model-sl-4/onnx,0,1000,236746,340,376,191,221,179,207,181,216,47,62,77.176,"173757.000000,0.003758,513.000000,0.000000,1.516201,1.516210:173757.000000,0.993606,1.000000,0.000000,0.006353,0.006353:173757.000000,0.993606,1.000000,0.000000,0.006353,0.006353:173757.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,0,1000,218594,110,117,254,262,272,282,309,320,38,17,78.725,"165777.000000,0.003680,559.000000,0.000000,1.885592,1.885603:165777.000000,1.000000,1.000000,1.000000,0.000000,0.000000:165777.000000,1.000000,1.000000,1.000000,0.000000,0.000000:165777.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,0,1000,232631,101,110,271,288,268,289,290,308,43,27,80.014,"172003.000000,0.003494,530.000000,0.000000,1.634023,1.634033:172003.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172003.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172003.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
